"Drug Name and FDA Appl. #","Suppl. #","Active Ingredients","Company","Approval Type","Approval Date"
"CEFUROXIME AND DEXTROSE IN DUPLEX CONTAINER (NDA #050780)","018","CEFUROXIME SODIUM","B BRAUN","Manufacturing Change or Addition","12/12/2013"
"AMYVID (NDA #202008)","020","FLORBETAPIR F-18","AVID RADIOPHARMS INC","Labeling Revision","12/12/2013"
"QUILLIVANT XR (NDA #202100)","003","METHYLPHENIDATE HYDROCHLORIDE","NEXTWAVE PHARMS","Labeling Revision","12/12/2013"
"AMIKACIN SULFATE (ANDA #204040)","000","AMIKACIN SULFATE","EMCURE PHARMS LTD","Approval","12/12/2013"
"RITALIN (NDA #010187)","077","METHYLPHENIDATE HYDROCHLORIDE","NOVARTIS","Labeling Revision","12/13/2013"
"TECHNETIUM TC 99M GENERATOR (NDA #017693)","025","TECHNETIUM TC-99M SODIUM PERTECHNETATE GENERATOR","GE HEALTHCARE","Manufacturing Change or Addition","12/13/2013"
"RITALIN-SR (NDA #018029)","047","METHYLPHENIDATE HYDROCHLORIDE","NOVARTIS","Labeling Revision","12/13/2013"
"EPI E Z PEN JR (NDA #019430)","057","EPINEPHRINE","MYLAN SPECLT","Manufacturing Change or Addition","12/13/2013"
"EPIPEN (NDA #019430)","057","EPINEPHRINE","MYLAN SPECLT","Manufacturing Change or Addition","12/13/2013"
"EPIPEN E Z PEN (NDA #019430)","057","EPINEPHRINE","MYLAN SPECLT","Manufacturing Change or Addition","12/13/2013"
"EPIPEN JR. (NDA #019430)","057","EPINEPHRINE","MYLAN SPECLT","Manufacturing Change or Addition","12/13/2013"
"ADENOCARD (NDA #019937)","028","ADENOSINE","ASTELLAS","Manufacturing Change or Addition","12/13/2013"
"TAXOTERE (NDA #020449)","071","DOCETAXEL","SANOFI AVENTIS US","Labeling Revision","12/13/2013"
"ANTIZOL (NDA #020696)","005","FOMEPIZOLE","PALADIN LABS","Manufacturing Change or Addition","12/13/2013"
"FORADIL (NDA #020831)","033","FORMOTEROL FUMARATE","NOVARTIS","Manufacturing Change or Addition","12/13/2013"
"AVAGE (NDA #021184)","007","TAZAROTENE","ALLERGAN","Labeling Revision","12/13/2013"
"TAZORAC (NDA #021184)","007","TAZAROTENE","ALLERGAN","Labeling Revision","12/13/2013"
"METADATE CD (NDA #021259)","027","METHYLPHENIDATE HYDROCHLORIDE","UCB INC","Labeling Revision","12/13/2013"
"RITALIN LA (NDA #021284)","023","METHYLPHENIDATE HYDROCHLORIDE","NOVARTIS","Labeling Revision","12/13/2013"
"PRISMASOL B22GK 2/0 IN PLASTIC CONTAINER (NDA #021703)","012","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","12/13/2013"
"PRISMASOL B22GK 2/2.5 IN PLASTIC CONTAINER (NDA #021703)","012","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","12/13/2013"
"PRISMASOL B22GK 4/0 IN PLASTIC CONTAINER (NDA #021703)","012","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","12/13/2013"
"PRISMASOL B22GK 4/2.5 IN PLASTIC CONTAINER (NDA #021703)","012","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","12/13/2013"
"PRISMASOL BGK 0/2.5 IN PLASTIC CONTAINER (NDA #021703)","012","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","12/13/2013"
"PRISMASOL BGK 2/0 IN PLASTIC CONTAINER (NDA #021703)","012","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","12/13/2013"
"PRISMASOL BGK 2/3.5 IN PLASTIC CONTAINER (NDA #021703)","012","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","12/13/2013"
"PRISMASOL BGK 4/0 IN PLASTIC CONTAINER (NDA #021703)","012","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","12/13/2013"
"PRISMASOL BGK 4/0/1.2 IN PLASTIC CONTAINER (NDA #021703)","012","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","12/13/2013"
"PRISMASOL BGK 4/2.5 IN PLASTIC CONTAINER (NDA #021703)","012","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","12/13/2013"
"PRISMASOL BGK 4/3.5 IN PLASTIC CONTAINER (NDA #021703)","012","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","12/13/2013"
"PRISMASOL BK 0/0 IN PLASTIC CONTAINER (NDA #021703)","012","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","12/13/2013"
"PRISMASOL BK 0/0/1.2 IN PLASTIC CONTAINER (NDA #021703)","012","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","12/13/2013"
"PRISMASOL BK 0/3.5 IN PLASTIC CONTAINER (NDA #021703)","012","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","12/13/2013"
"PRISMASOL BK 4/2.5 IN PLASTIC CONTAINER (NDA #021703)","012","CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","GAMBRO RENAL PRODS","Manufacturing Change or Addition","12/13/2013"
"MEN'S ROGAINE (NDA #021812)","010","MINOXIDIL","JOHNSON AND JOHNSON","Labeling Revision","12/13/2013"
"WOMEN'S ROGAINE (NDA #021812)","010","MINOXIDIL","JOHNSON AND JOHNSON","Labeling Revision","12/13/2013"
"BRILINTA (NDA #022433)","010","TICAGRELOR","ASTRAZENECA LP","Labeling Revision","12/13/2013"
"LEVALBUTEROL HYDROCHLORIDE (ANDA #078171)","000","LEVALBUTEROL HYDROCHLORIDE","CIPLA LTD","Approval","12/13/2013"
"FELODIPINE (ANDA #091200)","000","FELODIPINE","RANBAXY LABS LTD","Approval","12/13/2013"
"BENLYSTA (BLA #125370)","047","BELIMUMAB","HUMAN GENOME SCIENCES INC.","Labeling Revision","12/13/2013"
"DESMOPRESSIN ACETATE (ANDA #201831)","000","DESMOPRESSIN ACETATE","GLENMARK GENERICS","Tentative Approval","12/13/2013"
"COMPLERA (NDA #202123)","012","EMTRICITABINE; RILPIVIRINE HYDROCHLORIDE; TENOFOVIR DISOPROXIL FUMARATE","GILEAD SCIENCES INC","Efficacy Supplement with Clinical Data to Support","12/13/2013"
"KALYDECO (NDA #203188)","003","IVACAFTOR","VERTEX PHARMS","Manufacturing Change or Addition","12/13/2013"
"TYSABRI (BLA #125104)","840","NATALIZUMAB","BIOGEN IDEC","Efficacy Supplement with Clinical Data to Support","12/15/2013"
"TYSABRI (BLA #125104)","847","NATALIZUMAB","BIOGEN IDEC","Labeling Revision","12/15/2013"
"TYSABRI (BLA #125104)","889","NATALIZUMAB","BIOGEN IDEC","Labeling Revision","12/15/2013"
"DOPAMINE HYDROCHLORIDE IN DEXTROSE 5% IN PLASTIC CONTAINER (NDA #018826)","044","DOPAMINE HYDROCHLORIDE","HOSPIRA","Manufacturing Change or Addition","12/16/2013"
"PENTASA (NDA #020049)","026","MESALAMINE","SHIRE","Labeling Revision","12/16/2013"
"LOTEMAX (NDA #020583)","028","LOTEPREDNOL ETABONATE","BAUSCH AND LOMB","Manufacturing Change or Addition","12/16/2013"
"ALREX (NDA #020803)","026","LOTEPREDNOL ETABONATE","BAUSCH AND LOMB","Manufacturing Change or Addition","12/16/2013"
"TRUVADA (NDA #021752)","043","EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE","GILEAD","Labeling Revision","12/16/2013"
"LIALDA (NDA #022000)","011","MESALAMINE","SHIRE","Labeling Revision","12/16/2013"
"GIAZO (NDA #022205)","001","BALSALAZIDE DISODIUM","SALIX PHARMS","Labeling Revision","12/16/2013"
"MERREM (NDA #050706)","032","MEROPENEM","ASTRAZENECA","Labeling Revision","12/16/2013"
"MERREM (NDA #050706)","034","MEROPENEM","ASTRAZENECA","Labeling Revision","12/16/2013"
"AVASTIN (BLA #125085)","285","BEVACIZUMAB","GENENTECH","Labeling Revision","12/16/2013"
"TEFLARO (NDA #200327)","011","CEFTAROLINE FOSAMIL","CEREXA","Labeling Revision","12/16/2013"
"ADAGEN (NDA #019818)","051","PEGADEMASE BOVINE","SIGMA TAU","Manufacturing Change or Addition","12/17/2013"
"SEROSTIM (NDA #020604)","071","SOMATROPIN RECOMBINANT","EMD SERONO","Manufacturing Change or Addition","12/17/2013"
"SEROSTIM LQ (NDA #020604)","071","SOMATROPIN RECOMBINANT","EMD SERONO","Manufacturing Change or Addition","12/17/2013"
"GEODON (NDA #020825)","049","ZIPRASIDONE HYDROCHLORIDE","PFIZER","Labeling Revision","12/17/2013"
"GEODON (NDA #020919)","035","ZIPRASIDONE MESYLATE","PFIZER","Labeling Revision","12/17/2013"
"CANASA (NDA #021252)","020","MESALAMINE","FOREST LABS INC","Labeling Revision","12/17/2013"
"MOVIPREP (NDA #021881)","016","ASCORBIC ACID; POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM ASCORBATE; SODIUM CHLORIDE; SODIUM SULFATE","SALIX PHARMS","Labeling Revision","12/17/2013"
"VIIBRYD (NDA #022567)","009","VILAZODONE HYDROCHLORIDE","FOREST LABS INC","Labeling Revision","12/17/2013"
"DULOXETINE HYDROCHLORIDE (ANDA #090776)","000","DULOXETINE HYDROCHLORIDE","ACTAVIS ELIZABETH","Approval","12/17/2013"
"Sildenafil Citrate (ANDA #202255)","000","Sildenafil Citrate","MACLEODS PHARMA","Tentative Approval","12/17/2013"
"SILDENAFIL CITRATE (ANDA #203814)","001","SILDENAFIL CITRATE","MACLEODS PHARMS LTD","Approval","12/17/2013"
"JUXTAPID (NDA #203858)","004","LOMITAPIDE MESYLATE","AEGERION","Manufacturing Change or Addition","12/17/2013"
"STIMATE (NDA #020355)","019","DESMOPRESSIN ACETATE","CSL BEHRING","Manufacturing Change or Addition","12/18/2013"
"STIMATE (NEEDS NO REFRIGERATION) (NDA #020355)","019","DESMOPRESSIN ACETATE","CSL BEHRING","Manufacturing Change or Addition","12/18/2013"
"CANCIDAS (NDA #021227)","032","CASPOFUNGIN ACETATE","MERCK","Manufacturing Change or Addition","12/18/2013"
"BARACLUDE (NDA #021798)","018","ENTECAVIR","BRISTOL MYERS SQUIBB","Labeling Revision","12/18/2013"
"CEFOTETAN AND DEXTROSE IN DUPLEX CONTAINER (ANDA #065430)","006","CEFOTETAN DISODIUM","B BRAUN","Manufacturing Change or Addition","12/18/2013"
"PEGINTRON (BLA #103949)","5259","PEGINTERFERON ALFA-2B","SCHERING","Efficacy Supplement with Clinical Data to Support","12/18/2013"
"SYLATRON (BLA #103949)","5259","PEGINTERFERON ALFA-2B","SCHERING","Efficacy Supplement with Clinical Data to Support","12/18/2013"
"GADAVIST (NDA #201277)","004","GADOBUTROL","BAYER HLTHCARE","Manufacturing Change or Addition","12/18/2013"
"JENTADUETO (NDA #201281)","005","LINAGLIPTIN; METFORMIN HYDROCHLORIDE","BOEHRINGER INGELHEIM","Manufacturing Change or Addition","12/18/2013"
"ANORO ELLIPTA (NDA #203975)","000","UMECLIDINIUM BROMIDE; VILANTEROL TRIFENATATE","GLAXOSMITHKLINE","Approval","12/18/2013"
"ADRENALIN (NDA #204640)","000","EPINEPHRINE","PAR STERILE PRODUCTS","Approval","12/18/2013"
"PROPYLTHIOURACIL (NDA #006188)","023","PROPYLTHIOURACIL","DAVA PHARMS INC","Manufacturing Change or Addition","12/19/2013"
"DARANIDE (NDA #011366)","029","DICHLORPHENAMIDE","TARO","Manufacturing Change or Addition","12/19/2013"
"TENUATE DOSPAN (NDA #012546)","033","DIETHYLPROPION HYDROCHLORIDE","WATSON PHARMS","Manufacturing Change or Addition","12/19/2013"
"CONRAY (NDA #013295)","064","IOTHALAMATE MEGLUMINE","MALLINCKRODT","Manufacturing Change or Addition","12/19/2013"
"CONRAY 43 (NDA #013295)","064","IOTHALAMATE MEGLUMINE","MALLINCKRODT","Manufacturing Change or Addition","12/19/2013"
"CONRAY 30 (NDA #016983)","032","IOTHALAMATE MEGLUMINE","MALLINCKRODT","Manufacturing Change or Addition","12/19/2013"
"CYSTO-CONRAY (NDA #017057)","031","IOTHALAMATE MEGLUMINE","MALLINCKRODT","Manufacturing Change or Addition","12/19/2013"
"CYSTO-CONRAY II (NDA #017057)","031","IOTHALAMATE MEGLUMINE","MALLINCKRODT","Manufacturing Change or Addition","12/19/2013"
"HALDOL (NDA #018701)","069","HALOPERIDOL DECANOATE","JANSSEN PHARMS","Manufacturing Change or Addition","12/19/2013"
"OPTIRAY 160 (NDA #019710)","050","IOVERSOL","MALLINCKRODT","Manufacturing Change or Addition","12/19/2013"
"OPTIRAY 240 (NDA #019710)","050","IOVERSOL","MALLINCKRODT","Manufacturing Change or Addition","12/19/2013"
"OPTIRAY 300 (NDA #019710)","050","IOVERSOL","MALLINCKRODT","Manufacturing Change or Addition","12/19/2013"
"OPTIRAY 320 (NDA #019710)","050","IOVERSOL","MALLINCKRODT","Manufacturing Change or Addition","12/19/2013"
"OPTIRAY 350 (NDA #019710)","050","IOVERSOL","MALLINCKRODT","Manufacturing Change or Addition","12/19/2013"
"RETROVIR (NDA #019951)","031","ZIDOVUDINE","VIIV HLTHCARE","Manufacturing Change or Addition","12/19/2013"
"GONAL-F (NDA #020378)","064","FOLLITROPIN ALFA/BETA","EMD SERONO","Manufacturing Change or Addition","12/19/2013"
"OPTIRAY 240 (NDA #020923)","016","IOVERSOL","MALLINCKRODT","Manufacturing Change or Addition","12/19/2013"
"OPTIRAY 300 (NDA #020923)","016","IOVERSOL","MALLINCKRODT","Manufacturing Change or Addition","12/19/2013"
"OPTIRAY 320 (NDA #020923)","016","IOVERSOL","MALLINCKRODT","Manufacturing Change or Addition","12/19/2013"
"OPTIRAY 350 (NDA #020923)","016","IOVERSOL","MALLINCKRODT","Manufacturing Change or Addition","12/19/2013"
"OVIDREL (NDA #021149)","037","CHORIOGONADOTROPIN ALFA","EMD SERONO","Manufacturing Change or Addition","12/19/2013"
"CAVERJECT IMPULSE (NDA #021212)","007","ALPROSTADIL","PHARMACIA AND UPJOHN","Labeling Revision","12/19/2013"
"RANEXA (NDA #021526)","026","RANOLAZINE","GILEAD","Labeling Revision","12/19/2013"
"GONAL-F (NDA #021765)","034","FOLLITROPIN ALFA/BETA","EMD SERONO","Manufacturing Change or Addition","12/19/2013"
"GONAL-F RFF (NDA #021765)","034","FOLLITROPIN ALFA/BETA","EMD SERONO","Manufacturing Change or Addition","12/19/2013"
"BARACLUDE (NDA #021797)","017","ENTECAVIR","BRISTOL MYERS SQUIBB","Labeling Revision","12/19/2013"
"REVLIMID (NDA #021880)","036","LENALIDOMIDE","CELGENE","Manufacturing Change or Addition","12/19/2013"
"KUVAN (NDA #022181)","009","SAPROPTERIN DIHYDROCHLORIDE","BIOMARIN PHARM","Manufacturing Change or Addition","12/19/2013"
"KUVAN (NDA #022181)","010","SAPROPTERIN DIHYDROCHLORIDE","BIOMARIN PHARM","Efficacy Supplement with Clinical Data to Support","12/19/2013"
"ERYC (NDA #050536)","023","ERYTHROMYCIN","MAYNE PHARMA","Manufacturing Change or Addition","12/19/2013"
"ERYC (NDA #050536)","024","ERYTHROMYCIN","MAYNE PHARMA","Manufacturing Change or Addition","12/19/2013"
"ERIVEDGE (NDA #203388)","003","VISMODEGIB","GENENTECH","Manufacturing Change or Addition","12/19/2013"
"GABAPENTIN (ANDA #203611)","000","GABAPENTIN","ACTAVIS ELIZABETH","Tentative Approval","12/19/2013"
"BRISDELLE (NDA #204516)","001","PAROXETINE MESYLATE","NOVEN THERAP","Manufacturing Change or Addition","12/19/2013"
"KUVAN (NDA #205065)","000","SAPROPTERIN DIHYDROCHLORIDE","BIOMARIN PHARM","Approval","12/19/2013"
"ULTRA-TECHNEKOW FM (NDA #017243)","044","TECHNETIUM TC-99M SODIUM PERTECHNETATE GENERATOR","MALLINCKRODT","Labeling Revision","12/20/2013"
"TYLENOL (NDA #019872)","039","ACETAMINOPHEN","MCNEIL CONS","Labeling Revision","12/20/2013"
"METASTRON (NDA #020134)","012","STRONTIUM CHLORIDE SR-89","GE HEALTHCARE","Labeling Revision","12/20/2013"
"LAMICTAL (NDA #020241)","039","LAMOTRIGINE","GLAXOSMITHKLINE LLC","Labeling Revision","12/20/2013"
"CHILDREN'S ADVIL (NDA #020589)","029","IBUPROFEN","PFIZER","Manufacturing Change or Addition","12/20/2013"
"CHILDREN'S ADVIL-FLAVORED (NDA #020589)","029","IBUPROFEN","PFIZER","Manufacturing Change or Addition","12/20/2013"
"LAMICTAL CD (NDA #020764)","032","LAMOTRIGINE","GLAXOSMITHKLINE LLC","Labeling Revision","12/20/2013"
"EPIVIR-HBV (NDA #021003)","015","LAMIVUDINE","GLAXOSMITHKLINE","Labeling Revision","12/20/2013"
"EPIVIR-HBV (NDA #021004)","015","LAMIVUDINE","GLAXOSMITHKLINE","Labeling Revision","12/20/2013"
"TAMIFLU (NDA #021087)","063","OSELTAMIVIR PHOSPHATE","ROCHE","Manufacturing Change or Addition","12/20/2013"
"XYREM (NDA #021196)","018","SODIUM OXYBATE","JAZZ PHARMS","Manufacturing Change or Addition","12/20/2013"
"ZEGERID (NDA #021636)","014","OMEPRAZOLE; SODIUM BICARBONATE","SANTARUS INC","Manufacturing Change or Addition","12/20/2013"
"RELISTOR (NDA #021964)","014","METHYLNALTREXONE BROMIDE","SALIX PHARMS","Manufacturing Change or Addition","12/20/2013"
"TORISEL (NDA #022088)","015","TEMSIROLIMUS","PF PRISM CV","Manufacturing Change or Addition","12/20/2013"
"LAMICTAL XR (NDA #022115)","003","LAMOTRIGINE","GLAXOSMITHKLINE LLC","Labeling Revision","12/20/2013"
"ISENTRESS (NDA #022145)","031","RALTEGRAVIR POTASSIUM","MERCK SHARP DOHME","Efficacy Supplement with Clinical Data to Support","12/20/2013"
"LAMICTAL ODT (NDA #022251)","001","LAMOTRIGINE","GLAXOSMITHKLINE LLC","Labeling Revision","12/20/2013"
"ORENCIA (BLA #125118)","171","ABATACEPT","BRISTOL MYERS SQUIBB","Efficacy Supplement with Clinical Data to Support","12/20/2013"
"AMPICILLIN SODIUM (ANDA #201404)","000","AMPICILLIN SODIUM","ISTITUTO BIO ITA SPA","Approval","12/20/2013"
"ISENTRESS (NDA #203045)","009","RALTEGRAVIR POTASSIUM","MERCK SHARP DOHME","Efficacy Supplement with Clinical Data to Support","12/20/2013"
"ICLUSIG (NDA #203469)","007","PONATINIB HYDROCHLORIDE","ARIAD","Labeling Revision","12/20/2013"
"ICLUSIG (NDA #203469)","008","PONATINIB HYDROCHLORIDE","ARIAD","Labeling Revision","12/20/2013"
"ORENITRAM (NDA #203496)","000","TREPROSTINIL DIOLAMINE","UNITED THERAP","Approval","12/20/2013"
"METOCLOPRAMIDE (ANDA #204756)","000","METOCLOPRAMIDE HYDROCHLORIDE","EMCURE PHARMS LTD","Approval","12/20/2013"
"ISENTRESS (NDA #205786)","000","RALTEGRAVIR POTASSIUM","MERCK SHARP DOHME","Efficacy Supplement with Clinical Data to Support","12/20/2013"
"SURMONTIL (NDA #016792)","035","TRIMIPRAMINE MALEATE","ODYSSEY PHARMS","Manufacturing Change or Addition","12/23/2013"
"WELLBUTRIN (NDA #018644)","046","BUPROPION HYDROCHLORIDE","GLAXOSMITHKLINE","Labeling Revision","12/23/2013"
"WELLBUTRIN (NDA #018644)","047","BUPROPION HYDROCHLORIDE","GLAXOSMITHKLINE","Labeling Revision","12/23/2013"
"WELLBUTRIN SR (NDA #020358)","053","BUPROPION HYDROCHLORIDE","GLAXOSMITHKLINE","Labeling Revision","12/23/2013"
"WELLBUTRIN SR (NDA #020358)","054","BUPROPION HYDROCHLORIDE","GLAXOSMITHKLINE","Labeling Revision","12/23/2013"
"INFASURF PRESERVATIVE FREE (NDA #020521)","025","CALFACTANT","ONY","Manufacturing Change or Addition","12/23/2013"
"FOSAMAX (NDA #020560)","066","ALENDRONATE SODIUM","MERCK AND CO INC","Labeling Revision","12/23/2013"
"LYRICA (NDA #021446)","029","PREGABALIN","PF PRISM","Labeling Revision","12/23/2013"
"FOSAMAX (NDA #021575)","023","ALENDRONATE SODIUM","MERCK","Labeling Revision","12/23/2013"
"PRISTIQ (NDA #021992)","037","DESVENLAFAXINE SUCCINATE","WYETH PHARMS INC","Labeling Revision","12/23/2013"
"FERAHEME (NDA #022180)","010","FERUMOXYTOL","AMAG PHARMS INC","Manufacturing Change or Addition","12/23/2013"
"LYRICA (NDA #022488)","008","PREGABALIN","PF PRISM","Manufacturing Change or Addition","12/23/2013"
"ABELCET (NDA #050724)","017","AMPHOTERICIN B","SIGMA TAU","Manufacturing Change or Addition","12/23/2013"
"DESMOPRESSIN ACETATE (NEEDS NO REFRIGERATION) (ANDA #078271)","000","DESMOPRESSIN ACETATE","SUN PHARMA GLOBAL","Approval","12/23/2013"
"DARUNAVIR ETHANOLATE (ANDA #202118)","000","DARUNAVIR ETHANOLATE","TEVA PHARMS USA","Tentative Approval","12/23/2013"
"BINOSTO (NDA #202344)","006","ALENDRONATE SODIUM","MISSION PHARMA","Manufacturing Change or Addition","12/23/2013"
"SODIUM FLUORIDE F-18 (ANDA #203247)","000","SODIUM FLUORIDE F-18","UNIV TX MD ANDERSON","Approval","12/23/2013"
"LAMOTRIGINE (ANDA #203370)","000","LAMOTRIGINE","TORRENT PHARMS LTD","Approval","12/23/2013"
"FLUDEOXYGLUCOSE F18 (ANDA #203709)","000","FLUDEOXYGLUCOSE F-18","WI MEDCL CYCLOTRON","Approval","12/23/2013"
"HECTOROL (NDA #021027)","028","DOXERCALCIFEROL","GENZYME CORP","Manufacturing Change or Addition","12/24/2013"
"CANASA (NDA #021252)","018","MESALAMINE","FOREST LABS INC","Manufacturing Change or Addition","12/24/2013"
"XYLOCAINE (NDA #006488)","088","LIDOCAINE HYDROCHLORIDE","FRESENIUS KABI USA","Manufacturing Change or Addition","12/26/2013"
"XYLOCAINE W/ EPINEPHRINE (NDA #006488)","088","EPINEPHRINE; LIDOCAINE HYDROCHLORIDE","FRESENIUS KABI USA","Manufacturing Change or Addition","12/26/2013"
"OXYCODONE AND ACETAMINOPHEN (ANDA #090535)","000","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","CARACO","Approval","12/26/2013"
"ETHINYL ESTRADIOL; NORETHINDRONE ACETATE (ANDA #090938)","000","ETHINYL ESTRADIOL; NORETHINDRONE ACETATE","BARR LABS INC","Tentative Approval","12/26/2013"
"FERROUS FUMARATE (ANDA #090938)","000","FERROUS FUMARATE","BARR LABS INC","Tentative Approval","12/26/2013"
"DEXLANSOPRAZOLE (ANDA #202294)","000","DEXLANSOPRAZOLE","PAR PHARM INC","Tentative Approval","12/26/2013"
"DICLOFENAC SODIUM (ANDA #202393)","000","DICLOFENAC SODIUM","PADDOCK LLC","Tentative Approval","12/26/2013"
"TAFINLAR (NDA #202806)","001","DABRAFENIB MESYLATE","GLAXOSMITHKLINE","Labeling Revision","12/26/2013"
"POTASSIUM CHLORIDE (ANDA #202886)","000","POTASSIUM CHLORIDE","ANCHEN PHARMS","Approval","12/26/2013"
"DUAC (NDA #050741)","021","BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE","STIEFEL","Labeling Revision","12/27/2013"
"SIMPONI (BLA #125289)","103","GOLIMUMAB","CENTOCOR ORTHO BIOTECH INC","Labeling Revision","12/27/2013"
"SINGULAIR (NDA #020829)","066","MONTELUKAST SODIUM","MERCK","Labeling Revision","12/30/2013"
"SINGULAIR (NDA #020830)","068","MONTELUKAST SODIUM","MERCK","Labeling Revision","12/30/2013"
"SINGULAIR (NDA #021409)","043","MONTELUKAST SODIUM","MERCK","Labeling Revision","12/30/2013"
"KEFLEX (NDA #050405)","104","CEPHALEXIN","SHIONOGI INC","Manufacturing Change or Addition","12/30/2013"
"NIACIN (ANDA #090446)","000","NIACIN","LUPIN LTD","Tentative Approval","12/30/2013"
"NIACIN (ANDA #090860)","000","NIACIN","LUPIN LTD","Tentative Approval","12/30/2013"
"NIACIN (ANDA #090892)","000","NIACIN","LUPIN LTD","Tentative Approval","12/30/2013"
"AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE (ANDA #091431)","000","AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE","APOTEX INC","Approval","12/30/2013"
"EFAVIRENZ, LAMIVUDINE, AND TENOFOVIR DISOPROXIL FUMARATE (NDA #204568)","000","EFAVIRENZ;LAMIVUDINE;TENOFOVIR DISOPROXIL FUMARATE","CIPLA","Tentative Approval","12/30/2013"
"PRALIDOXIME CHLORIDE (NDA #018986)","043","PRALIDOXIME CHLORIDE","MERIDIAN MEDCL TECHN","Manufacturing Change or Addition","12/31/2013"
"NITROGLYCERIN IN DEXTROSE 5% (NDA #019970)","014","NITROGLYCERIN","BAXTER HLTHCARE","Manufacturing Change or Addition","12/31/2013"
"EPOGEN/PROCRIT (BLA #103234)","5323","EPOETIN ALFA","AMGEN","Labeling Revision","12/31/2013"
"ARANESP (BLA #103951)","5325","DARBEPOETIN ALFA","AMGEN","Labeling Revision","12/31/2013"
"ARANESP (BLA #103951)","5349","DARBEPOETIN ALFA","AMGEN","Labeling Revision","12/31/2013"
"MONISTAT-DERM (NDA #017494)","037","MICONAZOLE NITRATE","INSIGHT PHARMS","Manufacturing Change or Addition","01/02/2014"
"HECTOROL (NDA #020862)","032","DOXERCALCIFEROL","GENZYME CORP","Manufacturing Change or Addition","01/02/2014"
